Pt_ID	x_error	y_error	z_error
Pt_01	-0.00001241	0.00052230	-18391.03059158
Pt_02	587749.13343319	-38482.29722839	10188172848334348000.00000000
Pt_03	3006040.31070971	-2929629.13376808	21158907295719031000.00000000
Pt_04	-5948.11661096	7855.96596392	134992067398458770000.00000000
Pt_05	-1020474.18000303	335521.14710794	56839623433063522000.00000000
Pt_06	-541794.30200525	126369.55919408	718464715132649730.00000000
Pt_07	-581194.65930881	-158203.48844927	21409896853217235000.00000000
Pt_08	-558050.34859546	95740.18098304	780872317062797310.00000000
Pt_09	39785.51790471	99041.82172077	76850075781862785000.00000000
Pt_10	-115926.31934069	-202118.51762323	13110422467088140000.00000000
Pt_11	524922.46130707	316881.70143630	10906293019264666000.00000000
Pt_12	150755.32968166	296391.35231886	31116438908091007000.00000000
Pt_13	79364.90272228	-94690.96867638	62221993685785600000.00000000
Pt_14	-984867.22654544	-928099.51068904	36966612570778518000.00000000
Pt_15	-227054.15474021	561574.65326546	61976869106154906000.00000000
Pt_16	-364871.78965398	-44365.58999937	4528650627535195100.00000000
Pt_17	475983.16248964	276967.23920466	81090890275790340000.00000000
Pt_18	475849.93881122	-75975.20795052	10357490173402444000.00000000
Pt_19	139775.32827840	195855.31929988	20086241268292317000.00000000
Pt_20	167465.50731583	1413981.55021352	36124053769132134000.00000000
Pt_21	-3210567.35851896	2226684.50341802	131839664534362130.00000000
Pt_22	-408763.42897932	-393738.33009531	98385033419986551000.00000000
Pt_23	9942.12663840	-85431.31661134	99524232175317533000.00000000
Pt_24	-133925.58022647	2714400.42715703	121755366789344530000.00000000
Pt_25	-1970326.38544697	3496839.36540711	78988078601777758000.00000000
Pt_26	-2338.70653169	-3315.84848795	64552192617159819000.00000000
Pt_27	-386254.58536219	545875.16692205	135991623076939560000.00000000
Pt_28	1349660.98125163	1294144.66831149	101586978639260340000.00000000
Pt_29	-366553.89638759	326643.83698853	15268819448531188000.00000000
Pt_30	1391774.24275925	936652.30383392	86270266888455913000.00000000
Pt_31	2553180.80138410	-1200639.74240039	15768096953716031000.00000000
Pt_32	469119.36504745	-345268.60623135	77100282195329696000.00000000
Pt_33	86153.01367079	26445.75041624	47521292826618110000.00000000
Pt_34	294920.83780641	-449752.65812292	132728461018270890000.00000000
Pt_35	-328947.97111928	-3720858.57662940	29273244514161349000.00000000
Pt_36	-159819.21096752	554230.25188233	71219629804217713000.00000000
Pt_37	321284.42015206	93135.79149797	361803522220512130.00000000
Pt_38	237019.38641959	559480.45159692	54841509439635882000.00000000
Pt_39	-315590.68809525	249169.01853279	28459827472910766000.00000000
Pt_40	2508539.35413598	899424.39096509	59485488280607785000.00000000
Pt_41	-319603.69024265	911721.63375229	156862241145996280000.00000000
Pt_42	1146418.52820224	342393.25856480	54281400384959668000.00000000
Pt_43	-135322.14433848	-379434.21115179	112505803386606600000.00000000
Pt_44	93500.44662605	492935.90213044	52527585909949481000.00000000
Pt_45	-266330.39783807	-1484837.71822071	2304564342071526700.00000000
Pt_46	1858271.79950612	-1794031.81061186	5277160524613921800.00000000
Pt_47	209247.49079065	119235.88096175	1723884830851701000.00000000
Pt_48	539285.12183789	256606.35517162	10245011244085522000.00000000
Pt_49	-269099.62046305	141951.89794460	1458497006385089300.00000000
Pt_50	766556.24894088	-2340583.93891499	46956167223011443000.00000000
